female,mother.species,treatment,normal,deformed,aborted,weight,mean.weight,Seed.set,date
Dav 590.1C,Dioica,M.pollen,178,16,50,82.91,0.465786517,0.729508197,23.05
Dav 590.1C,Dioica,M.pollen,170,5,34,46.61,0.274176471,0.813397129,23.05
Dav 591.1B,Dioica,D.pollen,270,1,25,133.2,0.493333333,0.912162162,16.05
Dav 591.1B,Dioica,D.pollen,186,1,24,98.4,0.529032258,0.881516588,16.05
Dav 591.1B,Dioica,L.pollen,167,0,107,88,0.526946108,0.609489051,16.05
Dav 591.1B,Dioica,L.pollen,174,0,34,102.4,0.588505747,0.836538462,16.05
Dav 591.1B,Dioica,M.pollen,220,1,56,114.32,0.519636364,0.794223827,16.05
Dav 591.1B,Dioica,M.pollen,237,5,28,111.46,0.470295359,0.877777778,16.05
Dav 614.1B,Dioica,D.pollen,56,12,70,34.7,0.619642857,0.405797101,24.05
Dav 614.1B,Dioica,D.pollen,162,0,21,49.7,0.306790123,0.885245902,24.05
Dav 614.1B,Dioica,D.pollen,198,0,28,102.9,0.51969697,0.876106195,16.05
Dav 614.1B,Dioica,L.pollen,159,2,57,85.2,0.535849057,0.729357798,17.05
Dav 614.1B,Dioica,L.pollen,185,1,34,83.7,0.452432432,0.840909091,19.05
Dav 614.1B,Dioica,L.pollen,157,6,27,65.5,0.417197452,0.826315789,23.05
Dav 614.1B,Dioica,L.pollen,101,19,30,33.1,0.327722772,0.673333333,23.05
Dav 614.1B,Dioica,M.pollen,203,1,31,87.5,0.431034483,0.863829787,16.05
Dav 614.1B,Dioica,M.pollen,178,1,29,79.41,0.446123596,0.855769231,23.05
Dav 614.1B,Dioica,M.pollen,214,0,22,96.6,0.451401869,0.906779661,16.05
Gor 1-444,Latifolia,D.pollen,195,2,14,114.6,0.587692308,0.924170616,22.05
Gor 1-444,Latifolia,D.pollen,87,5,22,46.4,0.533333333,0.763157895,30.05
Gor 1-444,Latifolia,L.pollen,125,2,40,78.8,0.6304,0.748502994,19.05
Gor 1-444,Latifolia,L.pollen,110,0,114,44.8,0.407272727,0.491071429,24.05
Gor 1-444,Latifolia,L.pollen,231,0,20,121.9,0.527705628,0.920318725,30.05
Gor 1-444,Latifolia,M.pollen,133,0,64,76.48,0.575037594,0.675126904,25.05
Gor 1-444,Latifolia,M.pollen,106,1,88,59.76,0.563773585,0.543589744,16.05
Gor 1-444,Latifolia,M.pollen,145,2,16,83.68,0.577103448,0.889570552,17.05
Gor 2-352,Latifolia,D.pollen,21,0,210,20.9,0.995238095,0.090909091,19.05
Gor 2-352,Latifolia,D.pollen,166,0,122,120.9,0.728313253,0.576388889,19.05
Gor 2-352,Latifolia,L.pollen,152,0,129,125.5,0.825657895,0.540925267,23.05
Gor 2-352,Latifolia,L.pollen,119,1,166,101,0.848739496,0.416083916,22.05
Gor 2-352,Latifolia,M.pollen,137,2,117,105.45,0.769708029,0.53515625,16.05
Gor 2-352,Latifolia,M.pollen,201,0,48,154.52,0.768756219,0.807228916,19.05
Gor 3-302,Latifolia,D.pollen,121,0,64,63.7,0.526446281,0.654054054,17.05
Gor 3-302,Latifolia,D.pollen,94,0,121,58.3,0.620212766,0.437209302,18.05
Gor 3-302,Latifolia,D.pollen,78,0,98,45,0.576923077,0.443181818,18.05
Gor 3-302,Latifolia,D.pollen,97,3,116,54.2,0.558762887,0.449074074,19.05
Gor 3-302,Latifolia,L.pollen,116,0,19,71.11,0.613017241,0.859259259,24.05
Gor 3-302,Latifolia,L.pollen,97,0,67,64.6,0.665979381,0.591463415,18.05
Gor 3-302,Latifolia,L.pollen,132,0,62,74.2,0.562121212,0.680412371,17.05
Gor 3-302,Latifolia,L.pollen,89,6,94,40,0.449438202,0.470899471,18.05
Gor 3-302,Latifolia,M.pollen,93,0,81,57.71,0.620537634,0.534482759,17.05
Gor 3-302,Latifolia,M.pollen,99,0,76,54.26,0.548080808,0.565714286,18.05
Gor 3-302,Latifolia,M.pollen,83,2,89,28.71,0.345903614,0.477011494,17.05
Gor 3-302,Latifolia,M.pollen,90,2,86,50.74,0.563777778,0.505617978,25.05
Got 1022.1A,Dioica,D.pollen,94,9,78,44.4,0.472340426,0.519337017,22.05
Got 1022.1A,Dioica,D.pollen,49,0,64,27.7,0.565306122,0.433628319,24.05
Got 1022.1A,Dioica,L.pollen,73,18,15,42.2,0.578082192,0.688679245,23.05
Got 1022.1A,Dioica,L.pollen,114,0,17,55.9,0.490350877,0.870229008,19.05
Got 1022.1A,Dioica,L.pollen,86,0,82,42.5,0.494186047,0.511904762,22.05
Got 1022.1A,Dioica,L.pollen,148,0,139,72.1,0.487162162,0.515679443,19.05
Got 1022.1A,Dioica,M.pollen,80,0,58,53.02,0.66275,0.579710145,19.05
Got 1022.1A,Dioica,M.pollen,117,0,107,77.55,0.662820513,0.522321429,16.05
Got 1022.1A,Dioica,M.pollen,138,0,89,83.45,0.604710145,0.607929515,16.05
Got 1024.1C,Dioica,D.pollen,106,5,40,48.73,0.459716981,0.701986755,24.05
Got 1024.1C,Dioica,L.pollen,79,1,20,39.8,0.503797468,0.79,24.05
Got 1024.1C,Dioica,M.pollen,115,3,51,50.34,0.43773913,0.680473373,26.05
Got 1024.1C,Dioica,M.pollen,84,2,46,38.44,0.457619048,0.636363636,25.05
Got 1024.1C,Dioica,M.pollen,92,1,37,44.2,0.480434783,0.707692308,25.05
Got 1024.1C,Dioica,M.pollen,101,3,52,49.62,0.491287129,0.647435897,25.05
Got 1039.1A,Dioica,D.pollen,178,2,50,115.2,0.647191011,0.773913043,18.05
Got 1039.1A,Dioica,D.pollen,58,0,121,25.7,0.443103448,0.324022346,19.05
Got 1039.1A,Dioica,L.pollen,62,3,102,51.15,0.825,0.371257485,18.05
Got 1039.1A,Dioica,M.pollen,122,10,64,88.49,0.725327869,0.62244898,17.05
Got 1039.1A,Dioica,M.pollen,191,8,37,125.7,0.658115183,0.809322034,16.05
Leu 1-216,Latifolia,D.pollen,189,12,350,201.6,1.066666667,0.343012704,22.05
Leu 1-216,Latifolia,L.pollen,312,24,98,357.6,1.146153846,0.718894009,19.05
Leu 1-216,Latifolia,L.pollen,140,14,268,194.1,1.386428571,0.331753555,24.05
Leu 1-216,Latifolia,L.pollen,436,11,76,405.5,0.930045872,0.833652008,22.05
Leu 1-216,Latifolia,M.pollen,240,9,178,312.68,1.302833333,0.56206089,16.05
Leu 1-216,Latifolia,M.pollen,348,9,111,339.52,0.975632184,0.743589744,23.05
Leu 1-216,Latifolia,M.pollen,121,2,365,116.73,0.964710744,0.24795082,17.05
Leu 3-156,Latifolia,D.pollen,206,0,45,210.3,1.020873786,0.820717131,30.05
Leu 3-156,Latifolia,D.pollen,141,0,101,122.9,0.871631206,0.582644628,26.05
Leu 3-156,Latifolia,L.pollen,189,1,60,160.3,0.848148148,0.756,22.05
Leu 3-156,Latifolia,L.pollen,192,2,117,174.9,0.9109375,0.617363344,24.05
Leu 3-156,Latifolia,M.pollen,49,1,250,68.08,1.389387755,0.163333333,19.05
Sch 211.1C,Dioica,D.pollen,109,0,50,46.6,0.427522936,0.685534591,30.05
Sch 211.1C,Dioica,M.pollen,163,0,74,71.85,0.440797546,0.687763713,16.05
