Date_Census_1,Date_Census_2,Date_Census_3,Date_Census_4,Date_Census_5,Site,Tree_Number,Tree_species,Census_1,Census_2,Census_3,Census_4,Census_5,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-01,Hawthorn,233,201,176,181,127,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-02,Sugar_Maple,4,4,4,4,4,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-03,Quaking_Aspen,NA,NA,NA,NA,NA,Dead
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-04,Black_Oak,63,62,61,61,61,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-05,White_Oak,64,63,63,56,63,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-06,Sugar_Maple,19,19,19,19,19,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-07,American_Hornbeam,944,944,632,632,632,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-08,Multiflora_Rose,334,420,504,184,99,1 branch down on ground
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-14,Sugar_Maple,12,12,25,38,37,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-09,Autumn_Olive,575,291,273,273,273,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-10,Sugar_Maple,16,32,16,16,16,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-12,Autumn_Olive,3617,3667,3322,3321,3321,Not including twigs below the horizontal branch 
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-13,Sugar_Maple,NA,NA,NA,NA,NA,Dead
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-15,Sugar_Maple,4,4,4,3,3,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-16,Sugar_Maple,30,26,23,21,21,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-17,Sugar_Maple,49,49,49,48,47,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-18,American_Hornbeam,19,19,18,19,19,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-19,Red_Maple,15,13,13,7,7,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-01,Shellbark_Hickory,14,14,12,11,0,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-02,Sugar_Maple,32,32,32,31,28,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-03,American_Hornbeam,153,178,180,189,186,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-04,American_Hornbeam,313,313,313,313,313,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-05,Shellbark_Hickory,62,55,60,59,55,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-06,Shellbark_Hickory,NA,NA,NA,NA,NA,Dead
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-18,Rose,788,788,788,788,788,New: more branches in range due to tree fall. Still expanding. 7-9 leaflets 
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-07,American_Hornbeam,2160,2160,1474,1474,1474,More branches in range due to freefall. 7/22: 385 dying leaves
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-08,American_Hornbeam,588,588,586,586,586,Still expanding
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-09,American_Hornbeam,330,330,330,330,330,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-10,American_Hornbeam,124,107,98,96,78,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-11,American_Hornbeam,204,204,204,204,204,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-12,American_Hornbeam,1045,890,890,890,890,Still expanding
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-13,American_Hornbeam,324,324,324,324,94,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-14,Shellbark_Hickory,NA,NA,NA,NA,NA,No leaves in range
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-15,American_Hornbeam,157,155,136,125,53,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-16,American_Hornbeam,110,104,103,90,81,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-19,American_Hornbeam,33,30,30,22,12,New
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T02-17,American_Hornbeam,333,333,333,333,333,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-01,Hawthorn,132,136,131,132,98,
