Date,Census,Tree_Number,Shelter_type,Builder_order,Ara,Hem,Lep,Col,Orth,Hym,Dip,Egg,Gall,Miscellaneous,Leaf Count,Reps,,,,,,,,,
6/6/24,1,T14-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-08,Fold,Lep,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-10,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twigs,3,1,,,,,,,,,
6/6/24,1,T14-10,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T14-10,Tie,Lep,0,0,0,0,0,0,0,0,0,Enclosed lep pupa,2,1,,,,,,,,,
6/6/24,1,T14-10,Fold,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-10,Web,Ara,1,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T14-10,Tie,Lep,0,0,1,0,0,0,0,0,0,Plus unknown parasitoid larva coming out of it,2,1,,,,,,,,,
6/6/24,1,T14-19,Tie,Lep,0,0,2,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T14-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-19,Web,Ara,0,0,0,0,0,0,0,0,0,Shed spider skin,2,1,,,,,,,,,
6/6/24,1,T14-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-19,Gall,,0,0,0,0,0,0,0,0,1,Count filled in on June 10th Bumpy gall added to iNat,,,,,,,,,,,
6/6/24,1,T14-20,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-19,Roll,Lep,0,0,0,0,0,0,0,0,0,Funnel shaped roll,1,2,,,,,,,,,
6/6/24,1,T14-19,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,2,,,,,,,,,
