cone_ID,population,generation,maternal_line,treatment,fertilizer,position,rack,root_mass,veg_mass,floral_mass,total_biomass
1,Dog_Knobs,ancestor,695,dry,2x,142,3,,,,0
2,Dog_Knobs,ancestor,695,dry,2x,51,2,,,,0
3,Dog_Knobs,ancestor,801,dry,2x,208,5,,,,0
4,Dog_Knobs,ancestor,801,dry,2x,218,5,0.0125,0.0332,,0.0457
5,Dog_Knobs,ancestor,915,dry,2x,220,5,,,,0
6,Dog_Knobs,ancestor,915,dry,2x,152,4,,,,0
7,Dog_Knobs,ancestor,916,dry,2x,58,2,,,,0
8,Dog_Knobs,ancestor,916,dry,2x,93,2,0.006,0.0328,,0.0388
9,Dog_Knobs,ancestor,917,dry,2x,75,2,,,,0
10,Dog_Knobs,ancestor,917,dry,2x,96,2,,,,0
11,Dog_Knobs,ancestor,1113,dry,2x,216,5,,,,0
12,Dog_Knobs,ancestor,1113,dry,2x,2,1,,,,0
13,Dog_Knobs,ancestor,1119,dry,2x,86,2,,,,0
14,Dog_Knobs,ancestor,1119,dry,2x,232,5,,,,0
15,Dog_Knobs,ancestor,1221,dry,2x,38,1,,,,0
16,Dog_Knobs,ancestor,1221,dry,2x,103,3,,,,0
17,Dog_Knobs,ancestor,1222,dry,2x,94,2,0.0058,0.0151,,0.0209
18,Dog_Knobs,ancestor,1222,dry,2x,10,1,,,,0
19,Dog_Knobs,ancestor,1226,dry,2x,209,5,,,,0
20,Dog_Knobs,ancestor,1226,dry,2x,160,4,,,,0
21,Dog_Knobs,ancestor,1328,dry,2x,40,1,,,,0
22,Dog_Knobs,ancestor,1328,dry,2x,167,4,,,,0
23,Dog_Knobs,ancestor,1401,dry,2x,226,5,,,,0
24,Dog_Knobs,ancestor,1416,dry,2x,30,1,,,,0
25,Dog_Knobs,descendant,76,dry,2x,1,1,,,,0
26,Dog_Knobs,descendant,77,dry,2x,204,5,0.0182,0.0314,,0.0496
27,Dog_Knobs,descendant,235,dry,2x,212,5,,,,0
28,Dog_Knobs,descendant,311,dry,2x,72,2,,,,0
29,Dog_Knobs,descendant,316,dry,2x,12,1,,,,0
30,Dog_Knobs,descendant,459,dry,2x,3,1,,,,0
31,Dog_Knobs,descendant,475,dry,2x,137,3,,,,0
32,Dog_Knobs,descendant,516,dry,2x,14,1,,,,0
33,Dog_Knobs,descendant,575,dry,2x,141,3,,,,0
34,Dog_Knobs,descendant,577,dry,2x,192,4,,,,0
35,Dog_Knobs,descendant,615,dry,2x,148,4,,,,0
36,Dog_Knobs,descendant,619,dry,2x,106,3,,,,0
37,Dog_Knobs,descendant,660,dry,2x,119,3,,,,0
38,Dog_Knobs,descendant,729,dry,2x,16,1,,,,0
39,Dog_Knobs,descendant,731,dry,2x,80,2,,,,0
40,Dog_Knobs,descendant,873,dry,2x,62,2,,,,0
41,Dog_Knobs,descendant,925,dry,2x,98,3,,,,0
42,Dog_Knobs,descendant,989,dry,2x,123,3,,,,0
43,Dog_Knobs,descendant,1029,dry,2x,60,2,,,,0
44,Dog_Knobs,descendant,1037,dry,2x,105,3,,,,0
45,Dog_Knobs,descendant,1224,dry,2x,32,1,,,,0
46,Dog_Knobs,descendant,1280,dry,2x,25,1,,,,0
47,Dog_Knobs,descendant,1357,dry,2x,36,1,,,,0
48,Dog_Knobs,descendant,1801,dry,2x,166,4,,,,0
49,Moenkopi_Wash,ancestor,143,dry,2x,210,5,,,,0
50,Moenkopi_Wash,ancestor,144,dry,2x,133,3,,,,0
51,Moenkopi_Wash,ancestor,282,dry,2x,145,4,,,,0
52,Moenkopi_Wash,ancestor,285,dry,2x,127,3,,,,0
53,Moenkopi_Wash,ancestor,288,dry,2x,190,4,,,,0
54,Moenkopi_Wash,ancestor,363,dry,2x,165,4,,,,0
55,Moenkopi_Wash,ancestor,409,dry,2x,234,5,,,,0
56,Moenkopi_Wash,ancestor,410,dry,2x,205,5,,,,0
57,Moenkopi_Wash,ancestor,416,dry,2x,13,1,,,,0
58,Moenkopi_Wash,ancestor,432,dry,2x,67,2,,,,0
