IND,GENOTYPE,TREAT,REP,GROUP,SEX,DT
1,100,A,1,E1,F,228
2,100,A,1,E1,F,228
3,100,A,1,E1,F,228
4,100,A,1,E1,F,228
5,100,A,1,E1,F,228
6,100,A,1,E1,F,228
7,100,A,1,E1,F,228
8,100,A,1,E1,F,228
9,100,A,1,E1,F,228
10,100,A,1,E1,F,228
11,100,A,1,E1,F,228
12,100,A,1,E1,M,236
13,100,A,1,E1,M,236
14,100,A,1,E1,M,236
15,100,A,1,E1,M,236
16,100,A,1,E1,M,244
17,100,A,1,E1,M,244
18,100,A,1,E1,M,244
19,100,A,1,E1,F,244
20,100,A,1,E1,M,244
21,100,A,1,E1,F,244
22,100,A,1,E1,M,244
23,100,A,1,E1,M,244
24,100,A,1,E1,M,244
25,100,A,1,E1,F,244
26,100,A,1,E1,F,260
27,100,A,1,E1,F,268
28,100,A,1,E1,F,268
29,100,A,1,E1,F,276
30,100,A,1,E1,F,276
1,100,A,2,E1,F,228
2,100,A,2,E1,F,228
3,100,A,2,E1,F,228
4,100,A,2,E1,F,228
5,100,A,2,E1,F,228
6,100,A,2,E1,F,228
7,100,A,2,E1,F,228
8,100,A,2,E1,F,228
9,100,A,2,E1,F,236
10,100,A,2,E1,F,236
11,100,A,2,E1,M,244
12,100,A,2,E1,M,244
13,100,A,2,E1,F,244
14,100,A,2,E1,M,244
15,100,A,2,E1,F,252
16,100,A,2,E1,M,252
17,100,A,2,E1,M,252
18,100,A,2,E1,M,252
19,100,A,2,E1,M,252
20,100,A,2,E1,M,252
21,100,A,2,E1,M,252
22,100,A,2,E1,M,252
23,100,A,2,E1,M,252
24,100,A,2,E1,NA,NA
25,100,A,2,E1,NA,NA
26,100,A,2,E1,NA,NA
27,100,A,2,E1,NA,NA
28,100,A,2,E1,NA,NA
29,100,A,2,E1,NA,NA
30,100,A,2,E1,NA,NA
1,100,B,1,E1,F,220
2,100,B,1,E1,F,220
3,100,B,1,E1,F,220
4,100,B,1,E1,M,220
5,100,B,1,E1,M,228
6,100,B,1,E1,M,228
7,100,B,1,E1,M,228
8,100,B,1,E1,M,228
9,100,B,1,E1,M,228
10,100,B,1,E1,F,228
11,100,B,1,E1,F,228
12,100,B,1,E1,F,228
13,100,B,1,E1,F,228
14,100,B,1,E1,F,228
15,100,B,1,E1,M,236
16,100,B,1,E1,M,236
17,100,B,1,E1,M,236
18,100,B,1,E1,M,236
19,100,B,1,E1,F,244
20,100,B,1,E1,F,244
21,100,B,1,E1,F,244
22,100,B,1,E1,M,244
23,100,B,1,E1,M,260
24,100,B,1,E1,M,268
25,100,B,1,E1,M,276
26,100,B,1,E1,F,276
27,100,B,1,E1,F,284
28,100,B,1,E1,NA,NA
29,100,B,1,E1,NA,NA
30,100,B,1,E1,NA,NA
1,100,B,2,E1,M,220
2,100,B,2,E1,M,220
3,100,B,2,E1,M,220
4,100,B,2,E1,F,220
5,100,B,2,E1,F,220
6,100,B,2,E1,F,220
7,100,B,2,E1,F,220
8,100,B,2,E1,F,228
9,100,B,2,E1,F,228
10,100,B,2,E1,F,228
11,100,B,2,E1,F,228
12,100,B,2,E1,F,228
13,100,B,2,E1,F,228
14,100,B,2,E1,F,228
15,100,B,2,E1,F,228
16,100,B,2,E1,F,228
17,100,B,2,E1,M,244
18,100,B,2,E1,F,244
19,100,B,2,E1,F,244
20,100,B,2,E1,F,252
21,100,B,2,E1,M,260
22,100,B,2,E1,F,268
23,100,B,2,E1,F,268
24,100,B,2,E1,M,268
25,100,B,2,E1,M,276
26,100,B,2,E1,M,284
27,100,B,2,E1,NA,NA
28,100,B,2,E1,NA,NA
29,100,B,2,E1,NA,NA
30,100,B,2,E1,NA,NA
1,100,C,1,E1,F,212
2,100,C,1,E1,F,212
3,100,C,1,E1,F,212
4,100,C,1,E1,F,212
5,100,C,1,E1,F,212
6,100,C,1,E1,F,212
7,100,C,1,E1,F,220
8,100,C,1,E1,F,220
9,100,C,1,E1,F,220
10,100,C,1,E1,M,236
11,100,C,1,E1,M,236
12,100,C,1,E1,M,244
13,100,C,1,E1,M,244
14,100,C,1,E1,F,244
15,100,C,1,E1,F,244
16,100,C,1,E1,F,244
17,100,C,1,E1,F,244
18,100,C,1,E1,F,244
19,100,C,1,E1,F,244
20,100,C,1,E1,F,244
21,100,C,1,E1,F,244
22,100,C,1,E1,F,244
23,100,C,1,E1,F,244
24,100,C,1,E1,NA,NA
25,100,C,1,E1,NA,NA
26,100,C,1,E1,NA,NA
27,100,C,1,E1,NA,NA
28,100,C,1,E1,NA,NA
29,100,C,1,E1,NA,NA
30,100,C,1,E1,NA,NA
1,100,C,2,E1,F,212
2,100,C,2,E1,F,212
3,100,C,2,E1,F,220
4,100,C,2,E1,F,220
5,100,C,2,E1,F,220
6,100,C,2,E1,M,228
7,100,C,2,E1,M,228
8,100,C,2,E1,M,228
9,100,C,2,E1,M,228
10,100,C,2,E1,M,228
11,100,C,2,E1,M,228
12,100,C,2,E1,M,228
13,100,C,2,E1,M,228
14,100,C,2,E1,M,232
15,100,C,2,E1,M,232
16,100,C,2,E1,F,232
17,100,C,2,E1,F,232
18,100,C,2,E1,F,232
19,100,C,2,E1,F,232
20,100,C,2,E1,F,232
21,100,C,2,E1,F,232
22,100,C,2,E1,F,244
23,100,C,2,E1,F,244
24,100,C,2,E1,F,244
25,100,C,2,E1,F,244
26,100,C,2,E1,F,244
27,100,C,2,E1,M,244
28,100,C,2,E1,M,244
29,100,C,2,E1,M,252
30,100,C,2,E1,F,252
1,100,D,1,E1,F,236
2,100,D,1,E1,F,236
3,100,D,1,E1,F,236
4,100,D,1,E1,F,236
5,100,D,1,E1,M,236
6,100,D,1,E1,M,236
7,100,D,1,E1,M,236
8,100,D,1,E1,M,244
9,100,D,1,E1,M,244
10,100,D,1,E1,M,244
11,100,D,1,E1,F,244
12,100,D,1,E1,F,244
13,100,D,1,E1,F,244
14,100,D,1,E1,F,244
15,100,D,1,E1,M,252
16,100,D,1,E1,M,252
17,100,D,1,E1,M,252
18,100,D,1,E1,M,252
19,100,D,1,E1,M,252
20,100,D,1,E1,M,260
21,100,D,1,E1,M,260
22,100,D,1,E1,M,268
23,100,D,1,E1,M,268
24,100,D,1,E1,M,268
25,100,D,1,E1,NA,NA
26,100,D,1,E1,NA,NA
27,100,D,1,E1,NA,NA
