tray,block,ind,germ,area,cross
lc_1,1,1,1,0.317,f2
lc_1,1,2,1,0.284,f2
lc_1,1,3,1,0.282,f2
lc_1,1,4,1,0.271,f2
lc_1,1,5,1,0.314,f2
lc_1,1,6,0,0.236,f2
lc_1,1,7,1,0.251,f2
lc_1,1,8,1,0.225,f2
lc_1,1,9,1,0.324,f2
lc_1,1,10,1,0.311,f2
lc_1,1,11,1,0.266,f2
lc_1,1,12,0,0.204,f2
lc_1,1,13,1,0.292,f2
lc_1,1,14,1,0.274,f2
lc_1,1,15,0,0.261,f2
lc_1,2,1,1,0.285,bc_cal
lc_1,2,2,1,0.243,bc_cal
lc_1,2,3,1,0.253,bc_cal
lc_1,2,4,1,0.234,bc_cal
lc_1,2,5,1,0.222,bc_cal
lc_1,2,6,1,0.342,bc_cal
lc_1,2,7,1,0.28,bc_cal
lc_1,2,8,1,0.24,bc_cal
lc_1,2,9,0,0.277,bc_cal
lc_1,2,10,1,0.337,bc_cal
lc_1,2,11,1,0.333,bc_cal
lc_1,2,12,1,0.334,bc_cal
lc_1,2,13,1,0.31,bc_cal
lc_1,2,14,1,0.308,bc_cal
lc_1,2,15,1,0.29,bc_cal
lc_1,2,16,1,0.219,bc_cal
lc_1,2,17,0,0.312,bc_cal
lc_1,2,18,1,0.275,bc_cal
lc_1,2,19,1,0.278,bc_cal
lc_1,2,20,1,0.29,bc_cal
lc_1,3,1,1,0.275,bc_lon
lc_1,3,2,1,0.296,bc_lon
lc_1,3,3,1,0.287,bc_lon
lc_1,3,4,1,0.268,bc_lon
lc_1,3,5,1,0.293,bc_lon
lc_1,3,6,1,0.264,bc_lon
lc_1,3,7,1,0.275,bc_lon
lc_1,3,8,1,0.318,bc_lon
lc_1,3,9,1,0.301,bc_lon
lc_1,3,10,1,0.325,bc_lon
lc_1,3,11,1,0.254,bc_lon
lc_1,3,12,1,0.294,bc_lon
lc_1,3,13,1,0.355,bc_lon
lc_1,3,14,1,0.249,bc_lon
lc_1,3,15,1,0.224,bc_lon
lc_1,3,16,1,0.363,bc_lon
lc_1,3,17,1,0.357,bc_lon
lc_1,4,1,1,0.323,lon
lc_1,4,2,1,0.425,lon
lc_1,4,3,1,0.333,lon
lc_1,4,4,1,0.312,lon
lc_1,4,5,0,0.31,lon
lc_1,4,6,1,0.314,lon
lc_1,4,7,0,0.234,lon
lc_1,4,8,1,0.363,lon
lc_1,4,9,0,0.268,lon
lc_1,4,10,1,0.287,lon
lc_1,4,11,1,0.312,lon
lc_1,4,12,1,0.33,lon
lc_1,4,13,1,0.329,lon
lc_1,4,14,1,0.288,lon
lc_1,4,15,1,0.319,lon
lc_1,4,16,1,0.298,lon
lc_1,4,17,1,0.275,lon
lc_1,4,18,1,0.42,lon
lc_1,4,19,1,0.29,lon
lc_1,4,20,1,0.352,lon
lc_1,5,1,1,0.406,f1
lc_1,5,2,0,0.443,f1
lc_1,5,3,0,0.342,f1
lc_1,5,4,1,0.447,f1
lc_1,5,5,1,0.387,f1
lc_1,5,6,1,0.35,f1
lc_1,5,7,1,0.333,f1
lc_1,5,8,1,0.209,f1
lc_1,5,9,0,0.238,f1
lc_1,5,10,1,0.352,f1
lc_1,5,11,1,0.351,f1
lc_1,5,12,1,0.368,f1
lc_1,5,13,1,0.329,f1
lc_1,5,14,1,0.319,f1
lc_1,5,15,1,0.312,f1
lc_1,5,16,1,0.351,f1
lc_1,5,17,1,0.442,f1
lc_1,5,18,1,0.327,f1
lc_1,5,19,1,0.335,f1
lc_1,5,20,0,0.413,f1
lc_1,6,1,1,0.337,cal
lc_1,6,2,1,0.337,cal
lc_1,6,3,0,0.379,cal
lc_1,6,4,1,0.388,cal
lc_1,6,5,1,0.406,cal
lc_1,6,6,1,0.298,cal
lc_1,6,7,1,0.509,cal
lc_1,6,8,1,0.442,cal
lc_1,6,9,1,0.351,cal
lc_1,6,10,1,0.384,cal
lc_1,6,11,1,0.306,cal
lc_1,6,12,1,0.371,cal
lc_1,6,13,0,0.375,cal
lc_1,6,14,1,0.319,cal
lc_1,6,15,1,0.324,cal
lc_1,6,16,0,0.229,cal
lc_1,6,17,1,0.443,cal
lc_1,6,18,1,0.284,cal
lc_1,6,19,1,0.402,cal
lc_1,6,20,1,0.393,cal
lc_1,7,1,0,0.242,f2
lc_1,7,2,0,0.292,f2
lc_1,7,3,0,0.296,f2
lc_1,7,4,1,0.269,f2
lc_1,7,5,1,0.35,f2
lc_1,7,6,1,0.238,f2
lc_1,7,7,1,0.27,f2
lc_1,7,8,1,0.28,f2
lc_1,7,9,0,0.314,f2
lc_1,7,10,1,0.31,f2
lc_1,7,11,1,0.316,f2
lc_1,7,12,1,0.237,f2
lc_1,7,13,1,0.263,f2
lc_1,7,14,1,0.242,f2
lc_1,7,15,1,0.27,f2
lc_1,7,16,1,0.242,f2
lc_1,7,17,1,0.226,f2
lc_1,7,18,1,0.258,f2
lc_1,7,19,1,0.188,f2
lc_1,7,20,0,0.333,f2
lc_1,8,1,1,0.454,cal
lc_1,8,2,1,0.346,cal
lc_1,8,3,1,0.225,cal
lc_1,8,4,1,0.323,cal
lc_1,8,5,1,0.27,cal
lc_1,8,6,1,0.275,cal
lc_1,8,7,1,0.314,cal
lc_1,8,8,1,0.274,cal
lc_1,8,9,1,0.279,cal
lc_1,8,10,1,0.33,cal
lc_1,8,11,1,0.31,cal
lc_1,8,12,1,0.271,cal
lc_1,8,13,1,0.3,cal
lc_1,8,14,1,0.318,cal
lc_1,8,15,1,0.385,cal
lc_1,8,16,0,0.372,cal
lc_1,8,17,1,0.412,cal
lc_1,8,18,1,0.456,cal
lc_1,8,19,0,0.34,cal
lc_1,8,20,0,0.242,cal
lc_1,9,1,1,0.227,lon
lc_1,9,2,1,0.22,lon
lc_1,9,3,1,0.273,lon
lc_1,9,4,1,0.295,lon
lc_1,9,5,0,0.284,lon
lc_1,9,6,1,0.203,lon
lc_1,9,7,1,0.256,lon
lc_1,9,8,1,0.271,lon
lc_1,9,9,1,0.28,lon
lc_1,9,10,1,0.267,lon
lc_1,9,11,1,0.318,lon
